,Unnamed: 0,Cand_Name,Cand_Office_St,Cand_Office_Dist,Cand_Party_Affiliation,Year,recent_presidential_vote,percent_bachelor_or_above,gov_party,Party_Previous_Vote_Share,Incumbent,minority_percentage,Gender,Presidential_Approval_Rating,Same_Party_As_President,seat_transition,Median_Income,name_commonness,Primary.Vote.Percent,labor_force,Raised,Spent
1,2,"CRAWFORD, HARRY T JR",AK,0.0,DEM,2010,,27.0,REP,0.451463551,0,0.32569000000000004,1.0,0.38,True,4.0,64576.0,200,100.00,78.1,240439.24,235571.43
4,5,"BONNER, JO",AL,1.0,REP,2010,0.390788721,20.5,REP,1.0,1,0.32626,1.0,0.41,False,4.0,41172.0,500,75.25,79.8,913052.62,1101701.0
6,7,"WALTER, DAVID MARSH",AL,1.0,CON,2010,0.390788721,20.5,REP,0.0,0,0.32626,1.0,0.41,False,4.0,41172.0,4,,79.8,,
12,12,"ROBY, MARTHA",AL,2.0,REP,2010,0.407023755,19.3,REP,0.496880946,0,0.35261,0.0,0.41,False,0.0,40567.0,161,48.55,80,1253557.11,1240275.64
14,17,"ROGERS, MICHAEL",AL,3.0,REP,2010,0.456924713,19.5,REP,0.5409950410000001,1,0.35445,1.0,0.41,False,4.0,35452.0,1,100.00,79.34211,1141732.43,943059.56
17,18,"ADERHOLT, ROBERT BROWN",AL,4.0,REP,2010,0.239855583,13.1,REP,0.748582669,1,0.08851,1.0,0.41,False,0.0,36715.0,7,100.00,78.78095,828588.47,969814.03
18,24,"BROOKS, MO",AL,5.0,REP,2010,0.369056549,26.7,REP,0.481988496,0,0.23288000000000003,1.0,0.41,False,4.0,45856.0,500,50.81,77.9,861210.63,810790.4
25,27,"BACHUS, SPENCER T.",AL,6.0,REP,2010,0.425701714,33.6,REP,1.0,1,0.1706,1.0,0.41,False,4.0,55559.0,500,75.64,78.9,1415671.8,1634114.19
36,33,"SEWELL, TERRI A.",AL,7.0,DEM,2010,0.522854019,17.1,REP,1.0,0,0.6580600000000001,0.0,0.41,True,,31047.0,148,36.80,78.9,1739832.56,1703658.3
42,50,"CAUSEY, CHAD",AR,1.0,DEM,2010,0.38612868,13.7,DEM,1.0,0,0.19296,1.0,0.4,True,4.0,33862.0,30,26.98,77.2,1601831.57,1584473.08
